Time,No Protein,No NADH,25,50,100,200,400,800,1600
0,0.5885,0.09775,0.48075,0.4525,0.4815,0.40825,0.41025,0.3905,0.3675
1,0.5825,0.1005,0.47975,0.4515,0.479,0.402,0.4005,0.3795,0.34825
2,0.57875,0.10625,0.47875,0.45725,0.47325,0.39525,0.39175,0.36525,0.331
3,0.57875,0.11025,0.493,0.45,0.471,0.39225,0.38475,0.355,0.3165
4,0.5765,0.11025,0.49,0.44875,0.47075,0.38625,0.37625,0.3435,0.2995
5,0.57625,0.1115,0.49575,0.447,0.4665,0.3875,0.366,0.33275,0.284
6,0.5755,0.113,0.49475,0.44875,0.46275,0.38,0.35975,0.32125,0.2695
7,0.57425,0.11275,0.48125,0.44725,0.46,0.3735,0.365,0.3095,0.254
8,0.57425,0.11175,0.49,0.44475,0.45775,0.37125,0.348,0.301,0.239
9,0.57475,0.1125,0.4875,0.445,0.465,0.37,0.33825,0.291,0.22875
10,0.573,0.11275,0.48225,0.4455,0.45375,0.3695,0.33225,0.284,0.2165
11,0.57325,0.112,0.477,0.443,0.45725,0.372,0.327,0.2735,0.20475
12,0.574,0.1125,0.4865,0.44425,0.45525,0.36075,0.32225,0.2675,0.1945
13,0.574,0.11175,0.47475,0.44175,0.44825,0.36125,0.3155,0.25725,0.1855
14,0.57325,0.1155,0.483,0.4375,0.44325,0.355,0.31075,0.25,0.176
15,0.574,0.11125,0.487,0.4365,0.44325,0.35,0.3075,0.243,0.16875
16,0.5745,0.11175,0.48675,0.4365,0.441,0.3485,0.30475,0.23625,0.16325
17,0.5755,0.11175,0.483,0.435,0.44425,0.35025,0.2995,0.229,0.1545
18,0.57425,0.11225,0.49825,0.43375,0.43975,0.349,0.305,0.222,0.149
19,0.57425,0.112,0.4945,0.4335,0.442,0.34,0.28575,0.2155,0.1435
20,0.57425,0.112,0.48975,0.432,0.43525,0.33675,0.2835,0.21,0.139
21,0.574,0.11525,0.48975,0.4325,0.432,0.33525,0.27825,0.20375,0.1355
22,0.574,0.116,0.47875,0.4305,0.431,0.33575,0.27175,0.19775,0.1335
23,0.57325,0.11475,0.4855,0.42875,0.42875,0.332,0.26725,0.19,0.13125
24,0.574,0.1145,0.47925,0.43025,0.431,0.3275,0.26225,0.1845,0.14175
25,0.57325,0.11225,0.47775,0.42725,0.4265,0.3295,0.26025,0.17975,0.129
26,0.5735,0.11225,0.48675,0.42925,0.43075,0.32275,0.2555,0.17525,0.1335
27,0.57025,0.11125,0.487,0.42875,0.42425,0.32175,0.25525,0.16975,0.1275
28,0.5695,0.11175,0.481,0.43075,0.42125,0.33025,0.2545,0.1655,0.1285
29,0.5705,0.1115,0.4685,0.428,0.422,0.315,0.2525,0.16225,0.12725
30,0.57,0.11075,0.48,0.426,0.41825,0.31225,0.247,0.157,0.126
31,0.5715,0.112,0.47925,0.4265,0.42275,0.314,0.23925,0.15475,0.1285
32,0.56975,0.1115,0.478,0.4285,0.41625,0.3255,0.23425,0.152,0.12875
33,0.57025,0.111,0.4805,0.426,0.4205,0.318,0.22925,0.14875,0.12725
34,0.56925,0.111,0.4775,0.4265,0.4205,0.304,0.2285,0.1475,0.12575
35,0.56975,0.111,0.474,0.42675,0.41225,0.30725,0.2235,0.1455,0.1265
36,0.5705,0.111,0.47925,0.4265,0.41125,0.29875,0.21825,0.145,0.126
37,0.571,0.1145,0.48275,0.425,0.411,0.2965,0.219,0.144,0.12675
38,0.5695,0.11375,0.47775,0.42275,0.41325,0.2945,0.215,0.14275,0.12625
39,0.57,0.11375,0.482,0.4245,0.40875,0.29325,0.2175,0.14225,0.12625
40,0.5695,0.114,0.47975,0.42425,0.407,0.29725,0.21425,0.1415,0.127
41,0.56975,0.11275,0.47425,0.426,0.4145,0.29475,0.21975,0.1415,0.126
42,0.56975,0.111,0.47425,0.41975,0.40775,0.28675,0.207,0.13975,0.12475
43,0.56925,0.10975,0.4685,0.41725,0.4045,0.285,0.2095,0.13975,0.12375
44,0.56825,0.11075,0.4655,0.41675,0.4055,0.286,0.21125,0.13975,0.12475
45,0.56825,0.111,0.4705,0.416,0.40375,0.2835,0.20275,0.13975,0.12575
46,0.568,0.11025,0.481,0.41775,0.4085,0.2815,0.209,0.139,0.12575
47,0.5685,0.11225,0.46825,0.41975,0.40275,0.281,0.201,0.14,0.12625
48,0.568,0.111,0.48025,0.4165,0.4025,0.283,0.195,0.1395,0.125
49,0.5675,0.1135,0.47125,0.415,0.40175,0.2795,0.1925,0.138,0.12525
50,0.569,0.11425,0.47425,0.4145,0.4015,0.27475,0.198,0.1395,0.124
51,0.56625,0.11175,0.47175,0.41275,0.395,0.27225,0.1895,0.13925,0.12275
52,0.5685,0.11275,0.4905,0.41675,0.39775,0.2725,0.192,0.14075,0.1255
53,0.56775,0.1105,0.473,0.413,0.39575,0.2725,0.18925,0.139,0.12375
54,0.56675,0.11125,0.472,0.41225,0.39675,0.27,0.18475,0.13925,0.12375
55,0.56825,0.1115,0.476,0.41325,0.39525,0.2695,0.182,0.14,0.12675
56,0.568,0.1115,0.4655,0.415,0.394,0.2685,0.18175,0.1395,0.1245
57,0.5645,0.10925,0.465,0.41425,0.397,0.26475,0.17275,0.13725,0.1225
58,0.567,0.11175,0.464,0.41425,0.398,0.265,0.17925,0.139,0.12425
59,0.565,0.111,0.4675,0.41075,0.391,0.2655,0.1735,0.14025,0.1245
